ts,open,high,low,close,volume,n_trades,vwap
2024-06-03 15:39:32+00:00,194.16,194.16,194.16,194.16,100,2,194.16
2024-06-03 15:39:33+00:00,194.15,194.15,194.14,194.14,1306,31,194.14234303215926
2024-06-03 15:39:34+00:00,194.13,194.13,194.13,194.13,402,6,194.13
2024-06-03 15:39:35+00:00,194.12,194.12,194.11,194.11,153,3,194.11346405228758
2024-06-03 15:39:36+00:00,194.1,194.1,194.09,194.09,182,6,194.09417582417584
2024-06-03 15:39:37+00:00,,,,,0,0,
2024-06-03 15:39:38+00:00,,,,,0,0,
2024-06-03 15:39:39+00:00,,,,,0,0,
2024-06-03 15:39:40+00:00,194.08,194.08,194.07,194.07,542,9,194.07739852398524
2024-06-03 15:39:41+00:00,,,,,0,0,
2024-06-03 15:39:42+00:00,194.07,194.07,194.07,194.07,200,4,194.07
2024-06-03 15:39:43+00:00,,,,,0,0,
2024-06-03 15:39:44+00:00,194.06,194.06,194.06,194.06,105,3,194.06
2024-06-03 15:39:45+00:00,194.06,194.06,194.06,194.06,305,4,194.06
2024-06-03 15:39:46+00:00,194.08,194.08,194.08,194.08,1,1,194.08
2024-06-03 15:39:47+00:00,194.08,194.08,194.08,194.08,4,1,194.08
2024-06-03 15:39:48+00:00,194.08,194.1,194.08,194.1,1195,16,194.09004184100422
2024-06-03 15:39:49+00:00,194.09,194.09,194.09,194.09,200,3,194.09
2024-06-03 15:39:50+00:00,,,,,0,0,
2024-06-03 15:39:51+00:00,194.09,194.09,194.09,194.09,28,1,194.09
2024-06-03 15:39:52+00:00,194.08,194.08,194.07,194.07,445,6,194.07550561797754
2024-06-03 15:39:53+00:00,194.06,194.06,194.06,194.06,105,2,194.06
2024-06-03 15:39:54+00:00,,,,,0,0,
2024-06-03 15:39:55+00:00,,,,,0,0,
2024-06-03 15:39:56+00:00,,,,,0,0,
2024-06-03 15:39:57+00:00,,,,,0,0,
2024-06-03 15:39:58+00:00,,,,,0,0,
2024-06-03 15:39:59+00:00,194.05,194.05,194.02,194.02,1589,16,194.04859030837002
2024-06-03 15:40:00+00:00,194.01,194.01,194.01,194.01,100,2,194.01
2024-06-03 15:40:01+00:00,194.01,194.01,194.01,194.01,143,5,194.00999999999996
2024-06-03 15:40:02+00:00,194.0,194.0,193.96,193.97,1456,18,193.99025412087911
2024-06-03 15:40:03+00:00,,,,,0,0,
2024-06-03 15:40:04+00:00,193.97,193.97,193.97,193.97,260,6,193.97
